Link,Preis,Beschreibung,Details,Adresse,Features,Vollständige_Adresse,Latitude,Longitude,created_date,closed_date,Preis_cleaned,Wohnfläche,Grundstücksfläche,Zimmer,Preis_pro_qm
https://www.immowelt.de/projekte/expose/k2wz432,514.000 € 4.883 €/m²,Wohnung zum Kauf,"3 Zimmer·105,3 m²","Alt-Kürenz 1, Trier (54295)",,Keine Adresse gefunden,,,2024-12-31,,514000.0,105.3,,3.0,4881.291547958214
https://www.immowelt.de/projekte/expose/k2wz432,539.000 € 4.954 €/m²,Wohnung zum Kauf,"3 Zimmer·108,8 m²","Alt-Kürenz 1, Trier (54295)",,Keine Adresse gefunden,,,2024-12-31,,539000.0,108.8,,3.0,4954.044117647059
https://www.immowelt.de/projekte/expose/k2wz432,539.000 € 4.917 €/m²,Wohnung zum Kauf,"4 Zimmer·109,6 m²","Alt-Kürenz 1, Trier (54295)",,Keine Adresse gefunden,,,2024-12-31,,539000.0,109.6,,4.0,4917.883211678833
https://www.immowelt.de/projekte/expose/k2wz432,629.000 € 5.114 €/m²,Penthouse zum Kauf,3 Zimmer·123 m²,"Alt-Kürenz 1, Trier (54295)",,Keine Adresse gefunden,,,2024-12-31,,629000.0,123.0,,3.0,5113.821138211382
https://www.immowelt.de/expose/7f9b5c68-ba1d-4882-825b-33d523abfa61,625.000 € 3.049 €/m²,Mehrfamilienhaus zum Kauf,11 Zimmer·205 m²·603 m² Grundstück,"Alt-Kürenz 3, Trier (54295)","4 Geschosse; DSL-Anschluss; Badezimmer: Badewanne, Bad mit Fenster; WG-geeignet; Einbauküche; Garten; voll unterkellert; ausgebautes Dach",Keine Adresse gefunden,,,2024-12-31,,625000.0,205.0,603.0,11.0,3048.7804878048782
https://www.immowelt.de/expose/abc1cdd8-c7f8-444e-8ca9-a69e67f21bac,289.000 € 3.360 €/m²,Wohnung zum Kauf,3 Zimmer·86 m²,"Olewig 3, Trier (54295)","nach Vereinbarung; Personenaufzug; Balkon; Kelleranteil; Bodenbelag: Fliesen, Laminat; Fernblick",Keine Adresse gefunden,,,2024-12-31,,289000.0,86.0,,3.0,3360.4651162790697
https://www.immowelt.de/projekte/expose/k2wz432,385.400 € 5.183 €/m²,Wohnung zum Kauf,"3 Zimmer·74,4 m²","Alt-Kürenz 1, Trier (54295)",,Keine Adresse gefunden,,,2024-12-31,,385400.0,74.4,,3.0,5180.10752688172
https://www.immowelt.de/expose/88e2f05c-6e79-41ee-8ac8-05f7bc0532ee,450.000 € 3.750 €/m²,Einfamilienhaus zum Kauf,5 Zimmer·120 m²·211 m² Grundstück,"Neu-Heiligkreuz 5, Trier (54295)","Bezugsfrei; Stellplatz; Bad mit Fenster; Gäste-WC; Garten; voll unterkellert; Terrasse; Bodenbelag: Fliesen, Linoleum, Teppich",Keine Adresse gefunden,,,2024-12-31,,450000.0,120.0,211.0,5.0,3750.0
https://www.immowelt.de/expose/e50081df-c533-44ae-8b25-92172aa405d1,241.000 € 4.828 €/m²,Wohnung zum Kauf,"2 Zimmer·49,9 m²","Friedrich-Wilhelm-Straße 77, Barbara 4, Trier (54290)","2025; Tiefgarage; Personenaufzug; Balkon; Bad mit Dusche; Terrasse; Bodenbelag: Fliesen, Parkett; Kabelanschluss",Keine Adresse gefunden,,,2024-12-31,,241000.0,49.9,,2.0,4829.659318637275
https://www.immowelt.de/expose/7eec87b7-014f-489b-8914-547d92f6139d,296.000 € 4.896 €/m²,Wohnung zum Kauf,"2 Zimmer·60,5 m²","Friedrich-Wilhelm-Straße 77, Barbara 4, Trier (54290)","2026; Tiefgarage; Personenaufzug; Balkon; Bad mit Dusche; Terrasse; Bodenbelag: Fliesen, Parkett; Kabelanschluss",Keine Adresse gefunden,,,2024-12-31,,296000.0,60.5,,2.0,4892.561983471074
https://www.immowelt.de/expose/ec8e3fcd-142f-4046-a5e1-d9873298db2f,351.000 € 4.601 €/m²,Wohnung zum Kauf,"3 Zimmer·76,3 m²","Friedrich-Wilhelm-Straße 77, Barbara 4, Trier (54290)","2025; Tiefgarage; Personenaufzug; Balkon; Bad mit Dusche; Terrasse; Bodenbelag: Fliesen, Parkett; Kabelanschluss",Keine Adresse gefunden,,,2024-12-31,,351000.0,76.3,,3.0,4600.262123197903
https://www.immowelt.de/expose/1965e235-66b0-449a-987a-4431b4d6bbae,367.000 € 4.804 €/m²,Wohnung zum Kauf,"3 Zimmer·76,4 m²","Friedrich-Wilhelm-Straße 77, Barbara 4, Trier (54290)","2025; Tiefgarage; Personenaufzug; Balkon; Bad mit Dusche; Terrasse; Bodenbelag: Fliesen, Parkett; Kabelanschluss",Keine Adresse gefunden,,,2024-12-31,,367000.0,76.4,,3.0,4803.664921465968
https://www.immowelt.de/expose/bd282be7-f3d4-42df-9091-7a56cf5377fb,Preis auf Anfrage,Haus zum Kauf,225 m²·422 m² Grundstück·frei ab sofort,"Memelstraße 17, Neu-Heiligkreuz 1, Trier (54295)",sofort; Garage; Balkon; Einbauküche; ausgebautes Dach; Terrasse,Keine Adresse gefunden,,,2024-12-31,,,225.0,422.0,,
https://www.immowelt.de/expose/169e60b8-2f18-42d7-bc64-d2b9c4f1a736,217.500 € 4.350 €/m²,Wohnung zum Kauf,1 Zimmer·50 m²,"Altstadt 3, Trier (54296)",sofort; Personenaufzug; Balkon; Barrierefrei; Bad mit Dusche; Kochnische; Kelleranteil,Keine Adresse gefunden,,,2024-12-31,,217500.0,50.0,,1.0,4350.0
https://www.immowelt.de/expose/596391e2-5d47-4410-bcc2-7adf77dcf56c,225.000 € 3.409 €/m²,Wohnung zum Kauf,2 Zimmer·66 m²,"Olewig 1, Trier (54295)",nach Vereinabrung; Außen-Stellplatz; Balkon; Bad mit Dusche; Einbauküche; Garten; Kelleranteil; Bodenbelag: Fliesen,Keine Adresse gefunden,,,2024-12-31,,225000.0,66.0,,2.0,3409.090909090909
